id,value,type
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2055,1,2055
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2060,1,2060
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2065,1,2065
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2070,1,2070
allPopulation.2075,1,2075
allPopulation.2075,1,2075
