date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2016-12-22,208.220001,209.990005,206.5,208.449997,208.449997,3111100,2016,3,0.0036109774233651047,0.4407177503262873
2016-12-23,208.0,213.449997,207.710007,213.339996,213.339996,4670500,2016,4,0.023458858577004523,0.4869047675476269
2016-12-27,214.880005,222.25,214.419998,219.52999900000003,219.52999900000003,5915700,2016,1,0.029014732896123323,0.49983356638869036
2016-12-28,221.52999900000003,223.800003,217.199997,219.740005,219.740005,3782500,2016,2,0.0009566164121376612,0.43454091881524537
2016-12-29,218.559998,219.199997,214.119995,214.679993,214.679993,4045000,2016,3,-0.023027268066185765,0.3787292139355121
2016-12-30,216.300003,217.5,211.679993,213.690002,213.690002,4642600,2016,4,-0.0046114730402474135,0.4215836947450019
2017-01-03,214.860001,220.330002,210.960007,216.990005,216.990005,5923300,2017,1,0.01544294524364319,0.4682513342513056
2017-01-04,214.75,228.0,214.309998,226.990005,226.990005,11213500,2017,2,0.046085071982923824,0.5395571035901207
2017-01-05,226.419998,227.479996,221.949997,226.75,226.75,5911700,2017,3,-0.0010573373043451693,0.429854347273118
2017-01-06,226.929993,230.309998,225.449997,229.00999500000003,229.00999500000003,5527900,2017,4,0.009966901874311056,0.45550830604359344
2017-01-09,228.970001,231.919998,228.0,231.27999900000003,231.27999900000003,3979500,2017,0,0.009912248589848665,0.4553811251031632
2017-01-10,232.0,232.0,226.889999,229.869995,229.869995,3660000,2017,1,-0.0060965237205835646,0.41812790715657866
2017-01-11,229.070007,229.979996,226.679993,229.729996,229.729996,3650800,2017,2,-0.0006090355550753324,0.43089756798033624
2017-01-12,229.059998,230.699997,225.580002,229.589996,229.589996,3790200,2017,3,-0.0006094110583625586,0.4308966941653098
2017-01-13,230.0,237.850006,229.589996,237.75,237.75,6093000,2017,4,0.035541635707855436,0.5150219973468334
2017-01-17,236.699997,239.960007,234.369995,235.580002,235.580002,4617500,2017,1,-0.009127226077812797,0.41107531041425915
2017-01-18,236.649994,239.710007,235.580002,238.360001,238.360001,3769000,2017,2,0.01180065785040618,0.45977554838508183
2017-01-19,247.25,248.679993,240.75,243.75999500000003,243.75999500000003,7732300,2017,3,0.022654782586613686,0.4850336422961218
2017-01-20,245.460007,246.0,243.00999500000003,244.729996,244.729996,4204300,2017,4,0.003979328109191862,0.44157492088963746
2017-01-23,245.850006,250.889999,245.5,248.919998,248.919998,6262900,2017,0,0.017120917208693912,0.4721560593676444
2017-01-24,250.0,254.800003,249.649994,254.610001,254.610001,4965500,2017,1,0.02285876203486077,0.48550831272648454
2017-01-25,257.309998,258.459991,251.800003,254.470001,254.470001,5142600,2017,2,-0.000549860568909918,0.43103527114794077
2017-01-26,254.289993,255.740005,250.75,252.50999500000003,252.50999500000003,3152100,2017,3,-0.007702306724948551,0.41439116938078135
2017-01-27,251.380005,253.0,248.520004,252.949997,252.949997,3166300,2017,4,0.0017425132022990384,0.4363697401539264
2017-01-30,252.52999900000003,255.289993,247.100006,250.630005,250.630005,3801100,2017,0,-0.009171741559656887,0.41097172065016124
2017-01-31,249.240005,255.889999,247.699997,251.929993,251.929993,4116100,2017,1,0.005186880956252564,0.44438495706987946
2017-02-01,253.050003,253.199997,249.050003,249.240005,249.240005,3958800,2017,2,-0.010677521830439615,0.4074676942626673
2017-02-02,248.339996,252.419998,247.710007,251.550003,251.550003,2499800,2017,3,0.009268167042445723,0.4538823149636037
2017-02-03,251.910004,252.179993,249.679993,251.330002,251.330002,2186700,2017,4,-0.0008745815836861522,0.4302796290224411
2017-02-06,251.0,257.820007,250.630005,257.769989,257.769989,3562500,2017,0,0.02562363008296957,0.49194229966767083
2017-02-07,258.190002,260.0,256.420013,257.480011,257.480011,4244800,2017,1,-0.001124948645592793,0.4296970122831315
