district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Chandigarh, CH",199.0,,7.58,8.53,10.42,11.37,5.68,13.26,5.68,2.84,4.74,12.32,8.53,9.47,11.37,21.79,3.79,7.58,5.68,3.79,1.89,1.89,1.89,1.89,1.89,2.84
"Chandrapur, MH",5.0,,,,,,,,,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Changlang, AR",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Charaideo, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Charki Dadri, HR",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chatra, JH",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Chengalpattu, TN",556.0,0.39,0.0,0.0,0.0,1.56,1.96,3.13,1.96,0.39,1.56,14.08,3.52,5.09,10.17,15.65,16.82,35.21,13.69,9.78,3.52,11.74,5.09,10.95,16.82,8.61
"Chennai, TN",7677.0,6.06,3.94,6.62,14.51,13.24,19.44,24.79,24.51,28.59,37.46,39.15,45.63,44.51,56.2,39.3,71.69,75.77,71.83,53.52,51.13,45.35,46.76,67.89,51.27,77.75
"Chhatarpur, MP",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Chhindwara, MP",5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chikkaballapura, KA",24.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chikkamagaluru, KA",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Chirang, AS",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Chitradurga, KA",10.0,,,,,,,,,,,,,,,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6
"Chitrakoot, UP",16.0,,,,,,,,,,,,,,,,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.01
"Chittaurgarh, RJ",160.0,,,,5.18,5.18,1.94,4.53,,,14.89,5.83,0.65,10.36,6.48,6.48,14.89,14.89,0.65,7.12,7.12,7.12,0.65,1.3,3.24,0.65
"Chittoor, AP",192.0,0.72,0.72,0.72,0.72,0.72,0.72,1.68,1.68,1.68,0.24,0.96,0.96,0.96,0.96,2.64,3.84,2.16,2.4,2.64,2.16,3.36,1.92,0.96,3.6,0.0
"Chota Udaipur, GJ",22.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3.73,3.73,0.93,0.93,0.93,0.93,0.93
"Churachandpur, MN",1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Churu, RJ",49.0,,,,,,,,,,,,,,,,0.49,0.49,2.94,1.47,1.96,0.98,0.49,0.49,0.49,0.49
"Coimbatore, TN",145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cooch Behar, WB",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Cuddalore, TN",420.0,,,,,,,0.38,0.77,3.46,46.91,26.14,36.53,12.3,13.07,1.15,0.38,0.38,0.38,6.54,0.38,0.38,0.38,0.38,0.38,0.77
"Cuttack, OR",27.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,4.58,0.38,1.53
"Dadra and Nagar Haveli, DN",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakshin Bastar Dantewada, CT",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Dakshin Dinajpur, WB",3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Dakshina Kannada, KA",48.0,0.48,0.48,0.96,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.48,0.48,0.48,0.96,0.0
"Daman, DN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
