district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Ganderbal,Jammu and Kashmir,23.0,0.0,20.0,,,,80.0,20.0,297003.0,JK,77.44029521587323
Gandhinagar,Gujarat,142.0,5.0,9.85,11.67,12.97,13.46,12.42,9.85,1387478.0,GJ,102.34396509350056
Ganganagar,Rajasthan,0.0,0.0,,,,,,,1969520.0,RJ,0.0
Ganjam,Odisha,210.0,1.0,25.66,,,532.82,53.35,25.66,3520151.0,OR,59.65653177946059
Garhwa,Jharkhand,23.0,0.0,,,,,,,1322387.0,JH,17.392790461491227
Gariaband,Chhattisgarh,0.0,0.0,,,,,,,597653.0,CT,0.0
Gautam Buddha Nagar,Uttar Pradesh,249.0,3.0,7.4,7.25,5.88,6.39,6.33,7.4,1674714.0,UP,148.68210333227046
Gaya,Bihar,8.0,0.0,,,,,,,4379383.0,BR,1.826741346897497
Ghaziabad,Uttar Pradesh,150.0,2.0,4.55,9.69,8.37,7.48,6.34,4.55,4661452.0,UP,32.17881466976384
Ghazipur,Uttar Pradesh,10.0,0.0,,,,,,,3622727.0,UP,2.7603515252460373
Gir Somnath,Gujarat,18.0,0.0,,,,,,,1217477.0,GJ,14.784673550301154
Giridih,Jharkhand,7.0,0.0,,,,,,,2445203.0,JH,2.8627480008817265
Goalpara,Assam,6.0,0.0,,,,,,,1008959.0,AS,5.94672330590242
Godda,Jharkhand,1.0,0.0,,,,,,,1311382.0,JH,0.7625543129309386
Golaghat,Assam,9.0,0.0,,,,,,,1058674.0,AS,8.501200558434418
Gomati,Tripura,2.0,0.0,,,,,,,436868.0,TR,4.5780418799271185
Gonda,Uttar Pradesh,21.0,0.0,17.57,27.3,20.38,21.71,19.57,17.57,3431386.0,UP,6.119976009694043
Gondiya,Maharashtra,1.0,0.0,,,,,,,1322331.0,MH,0.7562403059445781
Gopalganj,Bihar,24.0,0.0,6.19,0.0,0.0,0.0,3.33,6.19,2558037.0,BR,9.382194237221745
Gorakhpur,Uttar Pradesh,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4436275.0,UP,1.352486038399333
Gumla,Jharkhand,0.0,0.0,,,,,,,1025656.0,JH,0.0
Guna,Madhya Pradesh,1.0,0.0,,,,,,,1240938.0,MP,0.8058420323980731
Guntur,Andhra Pradesh,399.0,8.0,4.59,4.37,3.36,2.47,3.11,4.59,4889230.0,AP,81.60794235493114
Gurdaspur,Punjab,121.0,1.0,0.0,36.26,7.16,6.92,5.45,0.0,2299026.0,PB,52.630983729631595
Gurugram,Haryana,166.0,0.0,8.87,25.35,19.65,11.51,10.39,8.87,1514085.0,HR,109.63717360650162
Gwalior,Madhya Pradesh,31.0,1.0,24.65,,,,43.17,24.65,2030543.0,MP,15.2668522656255
Hailakandi,Assam,1.0,1.0,,,,,,,659260.0,AS,1.5168522282559234
Hamirpur,Himachal Pradesh,0.0,0.0,,,,,,,454293.0,HP,0.0
Hamirpur(HP),Himachal Pradesh,6.0,0.0,,,,,,,454293.0,HP,13.207335354055644
Hamirpur(UP),Uttar Pradesh,1.0,0.0,,,,,,,1104021.0,UP,0.9057798719408418
Hanumangarh,Rajasthan,12.0,0.0,,,,,,,1779650.0,RJ,6.742898884612143
Hapur,Uttar Pradesh,60.0,1.0,4.05,10.53,10.17,9.83,4.3,4.05,1338211.0,UP,44.83597878062578
Harda,Madhya Pradesh,3.0,0.0,,,,,,,570302.0,MP,5.260370821073748
Hardoi,Uttar Pradesh,4.0,0.0,,,,,,,4091380.0,UP,0.9776652376459776
Haridwar,Uttarakhand,7.0,0.0,,,,,,,1927029.0,UT,3.632534850279887
Hassan,Karnataka,9.0,0.0,,,,,,,1776221.0,KA,5.066937053440985
Hathras,Uttar Pradesh,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565678.0,UP,12.135317734553338
Haveri,Karnataka,3.0,0.0,,,,,,,1598506.0,KA,1.8767524175699055
