date,close,volume,open,high,low,year,weekday,change
2015-11-16,214.31,2920362.0000,206.09,214.98,205.8,2015,0,0.03436459288575706
2015-11-17,214.0,2148326.0000,215.2,216.0,211.4,2015,1,-0.0014465027296906457
2015-11-18,221.07,2810200.0000,214.5,221.38,212.52,2015,2,0.03303738317757006
2015-11-19,221.8,2499593.0000,220.54,226.19,220.3,2015,3,0.003302121499977465
2015-11-20,220.01,4394199.0000,223.49,225.0,213.58,2015,4,-0.00807033363390451
2015-11-23,217.75,2525196.0000,217.35,219.18,214.6798,2015,0,-0.01027226035180215
2015-11-24,218.25,2478389.0000,215.37,221.0,215.0,2015,1,0.002296211251435132
2015-11-25,229.64,3986945.0000,221.34,230.825,220.375,2015,2,0.052187857961053775
2015-11-27,231.61,1949353.0000,231.06,232.25,227.01,2015,4,0.00857864483539465
2015-11-30,230.26,2591205.0000,231.79,234.28,229.08,2015,0,-0.005828763870299307
2015-12-01,237.19,3728562.0000,231.06,238.0,231.05,2015,1,0.03009641275080347
2015-12-02,231.99,2980644.0000,237.0,238.6,231.23,2015,2,-0.021923352586533953
2015-12-03,232.71,2937233.0000,235.48,237.45,230.0,2015,3,0.003103582050950467
2015-12-04,230.38,2572014.0000,232.46,233.27,227.66,2015,4,-0.010012461862403904
2015-12-07,231.13,3140864.0000,227.7,235.63,226.15,2015,0,0.003255490928031947
2015-12-08,226.72,2682259.0000,227.52,228.8,224.2,2015,1,-0.019080171332150724
2015-12-09,224.52,3057036.0000,226.7,227.5,220.72,2015,2,-0.009703599153140388
2015-12-10,227.07,2070088.0000,224.71,228.49,223.64,2015,3,0.011357562800641291
2015-12-11,217.02,3259114.0000,225.24,225.75,216.64,2015,4,-0.044259479455674385
2015-12-14,218.58,2827797.0000,217.51,220.92,214.87,2015,0,0.0071882775781034105
2015-12-15,221.09,2241686.0000,221.82,222.22,218.0,2015,1,0.011483209808765627
2015-12-16,234.51,5100443.0000,222.1,234.88,220.73,2015,2,0.06069926274367899
2015-12-17,233.39,3294460.0000,233.94,237.76,229.8149,2015,3,-0.004775915739200907
2015-12-18,230.46,3008057.0000,232.89,235.9,229.29,2015,4,-0.012554094005741371
2015-12-21,232.56,1951581.0000,231.69,235.83,231.08,2015,0,0.009112210361884901
2015-12-22,229.95,1958836.0000,234.99,236.55,229.63,2015,1,-0.011222910216718325
2015-12-23,229.7,1551031.0000,232.18,233.45,228.13,2015,2,-0.001087192868014786
2015-12-24,230.57,710277.0000,230.56,231.88,228.28,2015,3,0.003787548976926446
2015-12-28,228.95,1900171.0000,231.49,231.98,225.54,2015,0,-0.007026065836839158
2015-12-29,237.19,2402438.0000,230.06,237.72,229.547,2015,1,0.035990390915046994
2015-12-30,238.09,3694448.0000,236.6,243.634,235.6707,2015,2,0.003794426409207832
2015-12-31,240.01,2713817.0000,238.51,243.45,238.37,2015,3,0.008064177411903009
2016-01-04,223.41,6823510.0000,230.72,231.38,219.0,2016,0,-0.06916378484229822
2016-01-05,223.43,3185525.0000,226.36,226.89,220.0,2016,1,8.952150754223281e-05
2016-01-06,219.04,3774353.0000,220.0,220.05,215.98,2016,2,-0.019648211967954236
2016-01-07,215.65,3550704.0000,214.19,218.44,213.67,2016,3,-0.015476625273922509
2016-01-08,211.0,3572360.0000,217.86,220.44,210.77,2016,4,-0.021562717366102508
2016-01-11,207.85,4090843.0000,214.01,214.45,203.0,2016,0,-0.014928909952606663
2016-01-12,209.97,3079051.0000,211.6,213.7395,205.31,2016,1,0.01019966321866733
2016-01-13,200.31,4120993.0000,212.01,212.65,200.0,2016,2,-0.046006572367481055
2016-01-14,206.18,6490579.0000,202.21,210.0,193.38,2016,3,0.02930457790424844
2016-01-15,204.99,5325773.0000,198.97,205.07,197.25,2016,4,-0.005771655834707526
2016-01-19,204.72,4031271.0000,208.71,210.47,200.78,2016,1,-0.001317137421337676
2016-01-20,198.7,5826110.0000,199.4,201.28,191.25,2016,2,-0.029406017975771834
2016-01-21,199.97,3164424.0000,201.55,203.23,195.02,2016,3,0.006391545042778109
2016-01-22,202.55,3122066.0000,204.801,205.5,199.03,2016,4,0.012901935290293607
2016-01-25,196.38,2695408.0000,200.06,203.57,195.88,2016,0,-0.03046161441619361
2016-01-26,193.56,4956918.0000,196.7,197.82,188.88,2016,1,-0.014359914451573445
2016-01-27,188.07,3577353.0000,192.38,193.26,185.77,2016,2,-0.02836329820210792
2016-01-28,189.7,4586328.0000,190.79,191.28,182.41,2016,3,0.008666985696814991
2016-01-29,191.2,2848929.0000,189.95,193.74,188.08,2016,4,0.00790722192936215
2016-02-01,196.94,5295685.0000,188.76,199.52,182.75,2016,0,0.0300209205020921
2016-02-02,182.78,5764817.0000,192.42,193.12,180.23,2016,1,-0.07190007108764089
2016-02-03,173.48,7927640.0000,183.59,183.94,170.18,2016,2,-0.05088084035452463
2016-02-04,175.33,4379442.0000,170.7,175.98,166.99,2016,3,0.010664053493198196
2016-02-05,162.6,9434495.0000,171.3,173.0,157.7442,2016,4,-0.07260594307876586
2016-02-08,147.99,9306754.0000,157.105,157.15,146.0,2016,0,-0.08985239852398515
2016-02-09,148.25,8639661.0000,142.32,159.79,141.05,2016,1,0.0017568754645583546
2016-02-10,143.67,10104690.0000,150.5,154.97,141.74,2016,2,-0.03089376053962909
2016-02-11,150.47,14236900.0000,152.0,163.26,147.0,2016,3,0.04733068838310024
2016-02-12,151.04,7233264.0000,155.0,157.01,143.7,2016,4,0.0037881305243569695
2016-02-16,155.17,5561638.0000,158.7,162.95,154.11,2016,1,0.027343749999999972
2016-02-17,168.68,5820264.0000,159.0,169.34,156.68,2016,2,0.08706579880131482
2016-02-18,166.77,3883107.0000,172.42,172.95,164.77,2016,3,-0.011323215556082502
2016-02-19,166.58,2955832.0000,163.66,167.49,162.5,2016,4,-0.0011392936379444607
